precinct,biden_total,trump_total,total,trump_percent,biden_percent
2110,475.0,335.0,810.0,41.358024691358025,58.64197530864198
2111,439.0,214.0,653.0,32.7718223583461,67.22817764165391
2112,755.0,458.0,1213.0,37.757625721352014,62.242374278647986
2113,38.0,15.0,53.0,28.30188679245283,71.69811320754717
2114,890.0,423.0,1313.0,32.216298552932216,67.78370144706778
2115,2670.0,2215.0,4885.0,45.34288638689867,54.65711361310133
2116,0.0,0.0,0.0,,
2117,289.0,70.0,359.0,19.498607242339833,80.50139275766016
2118,13.0,1.0,14.0,7.142857142857142,92.85714285714286
2119,141.0,38.0,179.0,21.22905027932961,78.77094972067039
2120,948.0,716.0,1664.0,43.02884615384615,56.97115384615385
2121,206.0,111.0,317.0,35.01577287066246,64.98422712933754
2122,683.0,266.0,949.0,28.02950474183351,71.9704952581665
2123,814.0,732.0,1546.0,47.347994825355755,52.652005174644245
2124,295.0,177.0,472.0,37.5,62.5
2125,1233.0,992.0,2225.0,44.58426966292135,55.41573033707865
2126,596.0,338.0,934.0,36.188436830835116,63.811563169164884
2127,1064.0,734.0,1798.0,40.82313681868743,59.17686318131257
2128,900.0,312.0,1212.0,25.742574257425744,74.25742574257426
2129,0.0,0.0,0.0,,
2130,965.0,556.0,1521.0,36.55489809335963,63.44510190664037
2131,181.0,94.0,275.0,34.18181818181818,65.81818181818181
2132,0.0,0.0,0.0,,
2133,156.0,105.0,261.0,40.229885057471265,59.77011494252874
2134,527.0,235.0,762.0,30.839895013123357,69.16010498687663
2135,312.0,140.0,452.0,30.973451327433626,69.02654867256636
2136,1705.0,1306.0,3011.0,43.37429425440053,56.62570574559946
2137,503.0,281.0,784.0,35.84183673469388,64.15816326530613
2138,394.0,247.0,641.0,38.53354134165367,61.46645865834633
2139,763.0,606.0,1369.0,44.26588750913075,55.73411249086925
2140,761.0,316.0,1077.0,29.340761374187558,70.65923862581243
2141,615.0,402.0,1017.0,39.52802359882006,60.47197640117994
2142,256.0,110.0,366.0,30.05464480874317,69.94535519125684
2143,810.0,579.0,1389.0,41.68466522678186,58.31533477321814
2144,872.0,437.0,1309.0,33.3842627960275,66.6157372039725
2145,163.0,109.0,272.0,40.07352941176471,59.92647058823529
2146,40.0,14.0,54.0,25.925925925925924,74.07407407407408
2147,243.0,158.0,401.0,39.40149625935162,60.59850374064838
2148,1613.0,651.0,2264.0,28.75441696113074,71.24558303886926
2149,897.0,385.0,1282.0,30.03120124804992,69.96879875195008
2150,7.0,1.0,8.0,12.5,87.5
2151,11.0,6.0,17.0,35.294117647058826,64.70588235294117
2152,234.0,76.0,310.0,24.516129032258064,75.48387096774194
2153,135.0,70.0,205.0,34.146341463414636,65.85365853658537
2154,1635.0,1143.0,2778.0,41.14470842332613,58.855291576673864
2155,1.0,0.0,1.0,0.0,100.0
2156,607.0,244.0,851.0,28.672150411280846,71.32784958871915
2157,0.0,0.0,0.0,,
2158,0.0,0.0,0.0,,
2159,83.0,65.0,148.0,43.91891891891892,56.08108108108109
2160,3.0,1.0,4.0,25.0,75.0
3001,1300.0,1333.0,2633.0,50.62666160273452,49.37333839726548
3002,904.0,775.0,1679.0,46.15842763549732,53.841572364502674
3003,21.0,33.0,54.0,61.111111111111114,38.88888888888889
3004,0.0,0.0,0.0,,
3005,903.0,1567.0,2470.0,63.441295546558706,36.558704453441294
3006,420.0,433.0,853.0,50.76201641266119,49.2379835873388
3007,1219.0,1109.0,2328.0,47.63745704467354,52.36254295532646
3008,35.0,46.0,81.0,56.79012345679012,43.20987654320987
3009,0.0,11.0,11.0,100.0,0.0
3010,292.0,123.0,415.0,29.63855421686747,70.36144578313252
3011,426.0,378.0,804.0,47.01492537313433,52.98507462686567
3012,375.0,624.0,999.0,62.46246246246246,37.53753753753754
3013,802.0,552.0,1354.0,40.76809453471196,59.23190546528804
3014,197.0,185.0,382.0,48.42931937172775,51.57068062827225
3015,461.0,321.0,782.0,41.04859335038363,58.95140664961637
3016,85.0,77.0,162.0,47.53086419753087,52.46913580246913
3017,684.0,1398.0,2082.0,67.14697406340058,32.85302593659942
3018,768.0,726.0,1494.0,48.59437751004016,51.40562248995983
3019,344.0,150.0,494.0,30.364372469635626,69.63562753036437
3020,1208.0,851.0,2059.0,41.33074307916465,58.66925692083535
3021,672.0,1319.0,1991.0,66.24811652435963,33.75188347564038
3022,717.0,603.0,1320.0,45.68181818181819,54.31818181818182
3023,1046.0,697.0,1743.0,39.988525530694204,60.011474469305796
3024,0.0,0.0,0.0,,
3025,702.0,674.0,1376.0,48.98255813953488,51.01744186046512
3026,615.0,621.0,1236.0,50.24271844660194,49.75728155339806
3027,586.0,595.0,1181.0,50.38103302286198,49.618966977138015
3028,749.0,727.0,1476.0,49.25474254742547,50.74525745257452
3029,547.0,387.0,934.0,41.434689507494646,58.565310492505354
3030,850.0,950.0,1800.0,52.77777777777778,47.22222222222222
3031,12.0,6.0,18.0,33.33333333333333,66.66666666666666
3032,947.0,534.0,1481.0,36.056718433490886,63.943281566509114
3033,658.0,1009.0,1667.0,60.52789442111578,39.472105578884225
3034,559.0,1551.0,2110.0,73.50710900473933,26.492890995260666
3035,347.0,272.0,619.0,43.94184168012924,56.058158319870756
3036,1860.0,1008.0,2868.0,35.146443514644346,64.85355648535564
3037,1233.0,897.0,2130.0,42.112676056338024,57.887323943661976
3038,486.0,422.0,908.0,46.47577092511013,53.524229074889874
3039,1259.0,1961.0,3220.0,60.900621118012424,39.099378881987576
3040,845.0,756.0,1601.0,47.220487195502805,52.77951280449719
3041,217.0,222.0,439.0,50.56947608200456,49.430523917995444
3042,847.0,996.0,1843.0,54.04232230059686,45.95767769940315
3043,823.0,1495.0,2318.0,64.49525452976704,35.504745470232955
3044,593.0,528.0,1121.0,47.100802854594114,52.899197145405886
3045,540.0,704.0,1244.0,56.59163987138264,43.40836012861736
3046,666.0,521.0,1187.0,43.8921651221567,56.1078348778433
3047,801.0,669.0,1470.0,45.51020408163266,54.48979591836734
3048,740.0,517.0,1257.0,41.1296738265712,58.8703261734288
3049,832.0,917.0,1749.0,52.42995997712979,47.57004002287022
3050,449.0,431.0,880.0,48.97727272727273,51.02272727272727
3051,113.0,190.0,303.0,62.70627062706271,37.29372937293729
3052,1736.0,1856.0,3592.0,51.67037861915368,48.329621380846326
3053,769.0,686.0,1455.0,47.14776632302405,52.85223367697595
3054,757.0,520.0,1277.0,40.72043852779953,59.27956147220047
3055,819.0,1783.0,2602.0,68.52421214450423,31.475787855495774
3056,894.0,495.0,1389.0,35.63714902807775,64.36285097192224
3057,220.0,215.0,435.0,49.42528735632184,50.57471264367817
3058,1548.0,868.0,2416.0,35.9271523178808,64.0728476821192
3059,683.0,739.0,1422.0,51.9690576652602,48.0309423347398
